"ACTIVE_RESULT_DEVICE";"DELETING";"AFTER";"200";"EcDp_Performance_Test.aiSyncPwelResultFromTdev(n_RESULT_NO,NULL,n_LAST_UPDATED_BY);";"EC_PROD";
"ACTIVE_RESULT_DEVICE";"INSERTING";"AFTER";"100";"EcDp_Performance_Test.aiSyncPwelResultFromTdev(n_RESULT_NO,n_OBJECT_ID,n_CREATED_BY);";"EC_PROD";
"ACTIVE_RESULT_WELL";"DELETING";"BEFORE";"900";"EcDp_Performance_Test.removeWbiTestResult(o_OBJECT_ID,o_RESULT_NO);";"EC_PROD";
"ACTIVE_RESULT_WELL";"INSERTING";"AFTER";"800";"EcDp_Performance_Test.setWbiTestResult(n_OBJECT_ID,ec_ptst_result.daytime(n_RESULT_NO),n_RESULT_NO,'DIACS',n_CREATED_BY);";"EC_PROD";
"ACTIVE_RESULT_WELL";"INSERTING";"AFTER";"920";"EcDp_Performance_Test.aiSyncPwelResultFromPwel(n_RESULT_NO,n_OBJECT_ID,n_CREATED_BY);";"EC_PROD";
"ACTIVE_RESULT_WELL";"INSERTING OR UPDATING";"AFTER";"910";"EcDp_Performance_Test.auiSetProductionDay(n_OBJECT_ID, NULL, n_RESULT_NO,nvl(n_LAST_UPDATED_BY,n_CREATED_BY));";"EC_PROD";
"ALLOC_JOB_STATUS_PROCESS";"INSERTING OR UPDATING";"BEFORE";"100";"EcBp_Alloc_Job_Status_Process.checkIfEventOverlaps(n_ALLOC_NETWORK_ID, n_JOB_ID, n_PROCESS_ID, n_DAYTIME, n_END_DATE);";"EC_PROD";
"ALLOC_NETWORK_LIST";"INSERTING OR UPDATING";"BEFORE";"100";"EcDp_Alloc_Network_List.validateOverlappingPeriod(n_OBJECT_ID,n_DAYTIME,n_END_DATE,n_ELEMENT_ID);";"EC_PROD";
"BALANCE";"INSERTING";"AFTER";"100";"IF (n_code IS NULL) THEN ue_RevenueCodes.UpdateCodeForClass(n_object_id, n_daytime, 'BALANCE'); END IF;";"EC_REVN";
"BANK_ACCOUNT";"INSERTING";"AFTER";"1000";"IF (:NEW.customer_id IS NULL AND :NEW.vendor_id IS NULL) AND (:NEW.customer_code IS NULL AND :NEW.vendor_code IS NULL) THEN RAISE_APPLICATION_ERROR(-20000,'Either customer or vendor must be specified'); END IF;";"EC_REVN";
"BANK_ACCOUNT";"UPDATING";"AFTER";"1010";"IF (:NEW.customer_id IS NULL AND :NEW.vendor_id IS NULL) THEN RAISE_APPLICATION_ERROR(-20000,'Either customer or vendor must be specified'); END IF;";"EC_REVN";
"BLEND_CONTENT";"INSERTING";"AFTER";"700";"EcDp_Objects_Split.SetInsertSplitEndDate(n_OBJECT_ID,n_DAYTIME,'BLEND_CONTENT' );";"EC_PROD";
"CALC_DB_OBJECT_TYPE";"DELETING";"BEFORE";"1000";"Ecdp_Calc_Mapping.deleteObjectTypeAttributes(:old.object_id,:old.object_type_code);";"EC_FRMW";
"CALC_DB_OBJECT_TYPE";"DELETING";"BEFORE";"1100";"Ecdp_Calc_Mapping.deleteObjectTypeFilters(:old.object_id,:old.object_type_code);";"EC_FRMW";
"CALC_OBJECT_ATTRIBUTE";"DELETING";"BEFORE";"1000";"Ecdp_Calc_Mapping.deleteObjectTypeAttrDBMapping(:old.object_id,:old.object_type_code,:old.name);";"EC_FRMW";
"CALC_PRICE_BATCH_LOG";"INSERTING";"BEFORE";"100";"n_class_name := 'CALC_PRICE_BATCH_LOG';";"EC_SALE";
"CALC_PROCESS_ELEMENT";"INSERTING OR UPDATING";"BEFORE";"100";"    IF :NEW.CREATE_CALC_ID IS NOT NULL AND :NEW.CREATE_CALC_TYPE IS NOT NULL THEN EcDp_Calculation.implementProcessElement(vt(vt.LAST).name, vt(vt.LAST).daytime, vt(vt.LAST).end_date, n_calculation_id, :NEW.CREATE_CALC_ID, :NEW.CREATE_CALC_TYPE, :NEW.CREATE_CALC_COPY_ID, :NEW.CREATE_CALC_COPY_DAYTIME); vt(vt.LAST).implementing_calc_id := :NEW.CREATE_CALC_ID; lb_update_version_table := TRUE; lb_update_version_not_dt := TRUE; END IF;";"EC_FRMW";
"CALC_PROCESS_ELEMENT";"UPDATING";"AFTER";"200";"EcDp_Calculation.syncNameAndComments(:NEW.IMPLEMENTING_CALC_ID, :NEW.DAYTIME, :NEW.NAME, :NEW.COMMENTS);";"EC_FRMW";
"CALC_RULE";"INSERTING OR UPDATING";"BEFORE";"3000";"FOR ci IN 1..vt.COUNT LOOP vt(ci).OBJECT_CODE:= n_code;END LOOP;";"EC_PROD";
"CALC_SALE_CNTR_BATCH_LOG";"INSERTING";"BEFORE";"100";"n_class_name := 'CALC_SALE_CNTR_BATCH_LOG';";"EC_SALE";
"CALC_SET";"DELETING";"BEFORE";"100";"EcDp_Calculation.deleteCalcSetImpl(:OLD.OBJECT_ID, :OLD.DAYTIME, :OLD.CALC_SET_NAME);";"EC_FRMW";
"CALC_VARIABLE";"DELETING";"BEFORE";"500";"Ecdp_Calc_Mapping.deleteVarMappings(:old.object_id,:old.calc_var_signature);";"EC_FRMW";
"CALC_VARIABLE";"INSERTING";"BEFORE";"100";"Ecdp_Calc_Mapping.validateVarMapping(n_DIM1_OBJECT_TYPE_CODE,n_DIM2_OBJECT_TYPE_CODE,n_DIM3_OBJECT_TYPE_CODE,n_DIM4_OBJECT_TYPE_CODE,n_DIM5_OBJECT_TYPE_CODE);";"EC_FRMW";
"CALC_VARIABLE";"INSERTING";"BEFORE";"300";"n_ACTIVE_IND := NVL(n_ACTIVE_IND, 'Y');";"EC_FRMW";
"CALC_VARIABLE";"INSERTING";"BEFORE";"400";"n_CALC_VAR_DATA_TYPE := NVL(n_CALC_VAR_DATA_TYPE, 'NUMBER');";"EC_FRMW";
"CALC_VARIABLE";"INSERTING OR UPDATING";"BEFORE";"200";"n_CALC_VAR_SIGNATURE := EcDp_Calc_Mapping.GetVariableSignature(n_NAME, n_DIM1_OBJECT_TYPE_CODE, n_DIM2_OBJECT_TYPE_CODE, n_DIM3_OBJECT_TYPE_CODE, n_DIM4_OBJECT_TYPE_CODE, n_DIM5_OBJECT_TYPE_CODE);";"EC_FRMW";
"CALC_VARIABLE_LOCAL";"INSERTING OR UPDATING";"BEFORE";"100";"n_CALC_VAR_SIGNATURE := EcDp_Calc_Mapping.GetVariableSignature(n_NAME, n_DIM1_OBJECT_TYPE_CODE, n_DIM2_OBJECT_TYPE_CODE, n_DIM3_OBJECT_TYPE_CODE, n_DIM4_OBJECT_TYPE_CODE, n_DIM5_OBJECT_TYPE_CODE);";"EC_FRMW";
"CALC_VAR_KEY_RD_MAPPING";"INSERTING OR UPDATING";"BEFORE";"10";"IF n_CALC_DIM_MAPPING_CODE = 'DIMENSION' and n_DIM_NO is null and n_MAPPING_DETAIL is not null and TRANSLATE(n_MAPPING_DETAIL,'0123456789',' ') is null THEN n_DIM_NO := n_MAPPING_DETAIL;END IF;";"EC_FRMW";
"CALC_VAR_KEY_WR_MAPPING";"INSERTING OR UPDATING";"BEFORE";"10";"IF n_CALC_DIM_MAPPING_CODE = 'DIMENSION' and n_DIM_NO is null and n_MAPPING_DETAIL is not null and TRANSLATE(n_MAPPING_DETAIL,'0123456789',' ') is null THEN n_DIM_NO := n_MAPPING_DETAIL;END IF;";"EC_FRMW";
"CALC_VAR_READ_MAPPING";"DELETING";"BEFORE";"1100";"Ecdp_Calc_Mapping.deleteVarKeyDBMappingRead(:old.object_id,:old.calc_var_signature,:old.calc_dataset,:old.cls_name_mapping);";"EC_FRMW";
"CALC_VAR_WRITE_MAPPING";"DELETING";"BEFORE";"1100";"Ecdp_Calc_Mapping.deleteVarKeyDBMappingWrite(:old.object_id,:old.calc_var_signature,:old.calc_dataset,:old.cls_name_mapping);";"EC_FRMW";
"CAPACITY_BID";"DELETING";"BEFORE";"500";"ECDp_capacity_release.deleteBid(n_BID_NO);";"EC_TRAN";
"CAPACITY_BID";"INSERTING";"AFTER";"200";"ue_capacity_release.genBidName(n_BID_NO);";"EC_TRAN";
"CAPACITY_BID";"INSERTING";"AFTER";"300";"EcDp_capacity_release.instantiateBidForm(n_BID_NO);";"EC_TRAN";
"CAPACITY_BID";"INSERTING";"BEFORE";"100";"n_BID_STATUS:='PRV';";"EC_TRAN";
"CAPACITY_BID";"UPDATING";"BEFORE";"400";"EcDp_capacity_release.validateBidUpdate(n_BID_NO);";"EC_TRAN";
"CAPACITY_BID_DAY_CAP";"INSERTING OR UPDATING";"BEFORE";"100";"ue_Capacity_Release.validateCapBidRange(n_BID_NO, n_DAYTIME);";"EC_TRAN";
"CAPACITY_BID_LOCATION";"INSERTING OR UPDATING";"BEFORE";"100";"ecdp_capacity_release.validateBidUpdate(n_bid_no);";"EC_TRAN";
"CAPACITY_BID_OTHER";"UPDATING";"BEFORE";"100";"EcDp_capacity_release.validateBidUpdate(n_BID_NO);";"EC_TRAN";
